customer_id,first_name,last_name,email,registration_date,customer_segment,total_lifetime_value,preferred_contact,country,customer_age_years,is_premium,region
CUST1,FirstName0,LastName0,customer0@email.com,2024-07-09,Basic,3382.49,Phone,France,1.2,False,Europe
CUST2,FirstName1,LastName1,customer1@email.com,2024-08-28,Standard,8564.8,Email,UK,1.1,False,Europe
CUST3,FirstName2,LastName2,customer2@email.com,2025-07-11,Premium,2150.05,Phone,France,0.2,True,Europe
CUST4,FirstName3,LastName3,customer3@email.com,2023-03-02,Basic,804.47,Phone,Canada,2.5,False,North America
CUST5,FirstName4,LastName4,customer4@email.com,2025-02-26,Standard,783.18,Email,Germany,0.6,False,Europe
CUST6,FirstName5,LastName5,customer5@email.com,2023-04-17,Standard,9413.77,Email,Germany,2.4,False,Europe
CUST7,FirstName6,LastName6,customer6@email.com,2025-02-17,Basic,5118.51,SMS,USA,0.6,False,North America
CUST8,FirstName7,LastName7,customer7@email.com,2025-02-12,Basic,4153.18,Email,France,0.6,False,Europe
CUST9,FirstName8,LastName8,customer8@email.com,2023-09-05,Standard,8127.7,Email,USA,2.0,False,North America
CUST10,FirstName9,LastName9,customer9@email.com,2024-01-26,Basic,8374.68,SMS,Canada,1.6,False,North America
CUST11,FirstName10,LastName10,customer10@email.com,2024-03-16,Basic,3388.69,SMS,Canada,1.5,False,North America
CUST12,FirstName11,LastName11,customer11@email.com,2023-12-23,Premium,6966.82,Phone,USA,1.7,True,North America
CUST13,FirstName12,LastName12,customer12@email.com,2024-07-03,Premium,7734.12,SMS,USA,1.2,True,North America
CUST14,FirstName13,LastName13,customer13@email.com,2023-04-28,Premium,6581.04,Email,France,2.4,True,Europe
CUST15,FirstName14,LastName14,customer14@email.com,2025-05-27,Basic,1600.79,Email,Germany,0.3,False,Europe
CUST16,FirstName15,LastName15,customer15@email.com,2023-01-08,Basic,8771.24,Email,UK,2.7,False,Europe
CUST17,FirstName16,LastName16,customer16@email.com,2025-02-14,Basic,5437.04,SMS,France,0.6,False,Europe
CUST18,FirstName17,LastName17,customer17@email.com,2024-02-08,Premium,2896.48,Email,USA,1.6,True,North America
CUST19,FirstName18,LastName18,customer18@email.com,2023-11-01,Basic,4309.76,SMS,Germany,1.9,False,Europe
CUST20,FirstName19,LastName19,customer19@email.com,2023-04-12,Standard,471.95,Phone,UK,2.4,False,Europe
CUST21,FirstName20,LastName20,customer20@email.com,2024-12-28,Standard,1365.88,Email,France,0.7,False,Europe
CUST22,FirstName21,LastName21,customer21@email.com,2025-07-11,Premium,7678.91,Email,UK,0.2,True,Europe
CUST23,FirstName22,LastName22,customer22@email.com,2025-04-01,Basic,100.12,SMS,Canada,0.5,False,North America
